Clone,Treatment,Kairomone,UVR,Mother_ID,Sex,Instar,Neck_teeth_count,Bump_score,Body_length,Body_width,Spina_length
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_0,Female,1,3,B,0.593130670676501,0.382994729775251,0.118138961094872
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_0,Female,1,2,B,0.639254479874011,0.380683826547131,0.217201147938983
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_0,Female,1,2,A,0.638324549625419,0.38581531822396,0.224487149087818
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_0,Female,1,1,A,0.6257965194163,0.375267115549767,0.21334329715072
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_0,Female,2,0,A,0.83849262452363,0.45323925649926,0.227889215932715
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_0,Female,2,0,A,0.860713899765488,0.482269796054083,0.241683171962738
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_0,Female,2,0,A,0.802930030136209,0.437549932189528,0.230670220344263
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_0,Male,2,0,B,0.870133696280766,0.500584540813254,0.241492089719522
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4,Male,1,2,B,0.627425613380385,0.35794672873453,0.14520733602531
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4,Female,1,3,A,0.600138772632773,0.392219821601193,0.150741757811752
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4,Male,1,2,B,0.646226462573161,0.408300078637181,0.222500155520137
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4,Female,1,1,A,0.662269986416673,0.389786077907161,0.224795228577363
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4,Female,1,1,A,0.642036189161084,0.377122114739907,0.187902313392244
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4,Female,1,1,A,0.670371449558382,0.402782256372198,0.238537146640709
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4,Female,1,1,A,0.628197264499585,0.365156788838696,0.179359638264885
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4,Male,1,2,B,0.672295783997165,0.398680570464537,0.229668303778104
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4,Male,1,1,A,0.669407207896904,0.430293749742759,0.229140358864516
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4,Female,1,1,A,0.628637782723129,0.377534796367749,0.198847835907898
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4,Male,2,3,B,0.781611338127308,0.482316232589266,0.248205700250742
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4,Female,2,2,A,0.795449348469854,0.469126155805148,0.216642823482016
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4,Female,1,1,A,0.620772115346198,0.382437164017527,0.192660854476805
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4,NA,2,1,A,NA,NA,NA
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4,NA,2,2,A,NA,NA,NA
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4,NA,2,0,A,NA,NA,NA
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4B,Male,1,2,B,0.623229232972205,0.393291763360788,0.198760806432911
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4B,Male,1,2,B,0.673940840244546,0.384317582297701,0.232389320941381
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4B,Male,1,2,A,0.620326011423915,0.362700460545164,0.179359638264885
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4B,Male,1,1,B,0.664460866647063,0.387857827177963,0.189369844802302
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4B,Male,1,1,B,0.553964703272419,0.363653265498246,0.106102439933816
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4B,Male,1,2,B,0.59724884200629,0.387545440436935,0.194656158843005
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4B,Male,1,3,B,0.601607291892495,0.394112098681044,0.188759759953828
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4B,Female,1,1,A,0.58235646194342106,0.388095667351888,0.1994559789653
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4B,Female,1,2,A,0.548986742351141,0.343827974481681,0.173175773538741
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4B,Female,1,1,A,0.59724884200629,0.371498285424125,0.155524809287203
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4B,Male,1,2,A,0.569245389513792,0.336914791492902,0.157147977453059
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4B,Male,2,1,A,0.783424396443843,0.46885561722521,0.23591150492788
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4B,Male,1,1,A,0.61209924418423,0.356930222189849,0.15131455946188
UNI,UNI_Both,+Kairomone,+UVR,UNI_Both_4B,Female,2,0,A,0.690167422647591,0.408413063787358,0.188851398324767
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_7,Male,1,1,A,0.643624179785598,0.422666796478939,0.17829537137342
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_7,Female,1,1,A,0.570823706931617,0.383596591904646,0.218339929061652
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_7,Female,1,2,B,0.723490291992397,0.453587803569073,0.247367794145162
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_6,Female,1,4,B,0.752996829270374,0.460753213767473,0.24287388737411
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_6,Female,1,2,B,0.725400921090329,0.437313339875289,0.258316497737077
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_6,Female,1,1,A,0.637067443221891,0.380926146002953,0.184682661439908
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_6,Female,1,3,A,0.708019669864913,0.402782256372198,0.226634911045463
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_6,Female,1,1,A,0.732395415620926,0.44812569626351,0.253721034501308
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_6,Female,1,3,A,0.72145470442629,0.418952689289917,0.232538177145996
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_6,Female,1,1,A,0.721622558016708,0.44781671505261,0.240559500179268
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_6,Female,1,1,A,0.73532675364931,0.442817650086267,0.223250579760245
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_6,Female,1,2,B,0.72968154503829,0.407395069384425,0.217837480790514
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_6,Female,1,3,A,0.73830894678269,0.427982204351001,0.251529413516258
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_6,Female,2,0,A,0.869209426226607,0.496945538440454,0.227777167370837
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_6,Female,2,0,A,0.850591027489346,0.505859812549327,0.244081928011673
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_6,Female,2,0,A,0.836231143925032,0.485961441578656,0.21026639646727
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_6,Female,2,0,A,0.863350807242259,0.50064550977494,0.242493654049162
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_6,Female,2,0,A,0.80856582798691,0.475875992411877,0.202013027128624
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_6,Female,2,0,A,0.88063296222053,0.500311327376274,0.214206601829482
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,1,2,A,0.717888579527148,0.418856316609092,0.229668303778104
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,1,2,A,0.701612638627615,0.411451935239688,0.232786059294136
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,1,2,A,0.739705878458339,0.407154338166146,0.215682333327378
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,1,2,A,0.731970066831611,0.422503025030823,0.212557898659024
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,1,2,A,0.682715108305634,0.397884149751809,0.23578923930426
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,1,2,A,0.723458405424058,0.420148619340413,0.252353501898727
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,1,1,A,0.726259064307532,0.407352597742235,0.22117426792645
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,1,1,A,0.696704552295324,0.398304279139104,0.238899536802516
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,1,2,A,0.687437855852654,0.420162345874528,0.244836871018418
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,1,2,A,0.712866034765901,0.406899291052655,0.237737943841883
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,2,0,A,0.815101521743597,0.546839458728595,0.245119375194336
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,2,0,A,0.802271663758581,0.440336127717251,0.236326734900148
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,2,0,A,0.907366309105862,0.523728716585668,0.213991102175501
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,2,0,A,0.912860383592704,0.545878877521064,0.255713520127401
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,2,0,A,0.896798191324426,0.513407927051047,0.229869106705011
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,2,0,A,0.89176793023776,0.520946312185282,0.225819124691402
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,2,0,A,0.892155880341772,0.546301319062016,0.222033099285053
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_9,Female,2,0,A,0.90216485205391,0.541540501769771,0.227549174820088
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_3,Female,1,2,A,0.672707425202557,0.40576380874675,0.173973210328161
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_3,Female,1,2,A,0.704762062415628,0.394813886621365,0.22795433725946
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_3,Female,1,1,B,0.711019060572204,0.426483799691847,0.249780742896391
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_3,Female,1,1,A,0.687966193034622,0.386158975799178,0.241349359874486
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_3,Female,1,2,A,0.726997209280778,0.397884149751809,0.234956145757513
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_3,Female,1,2,A,0.728043613970577,0.407395069384425,0.246433445974772
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_3,Female,1,2,B,0.627508335673664,0.364603580530144,0.190493350892615
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_3,Female,1,2,A,0.714482256566999,0.430561728687426,0.23246376095854
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_7B,Female,1,2,A,0.660749925686866,0.410833126585344,0.225707494656791
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_7B,Female,1,2,A,0.606908816406795,0.367938962338146,0.196361235097792
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_7B,Female,1,1,A,0.601366590197021,0.381350509686768,0.183887126963854
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_7B,Female,1,2,A,0.621545526400441,0.379165319361789,0.20837295120883
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_7B,Female,1,2,A,0.608541966514196,0.376952154521618,0.214513313182186
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_3B,Female,1,2,B,0.627434805284886,0.39817394159631,0.197625935660656
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_3B,Female,1,2,A,0.605429728796533,0.375021139536087,0.139246509964531
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_3B,Female,1,1,A,0.651674247190387,0.393804673190943,0.220416774851645
UNI,UNI_UVR,−Kairomone,+UVR,UNI_UVR_3B,Female,1,2,A,0.680074361583999,0.434402295877967,0.211387971099834
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2,Male,1,2,A,0.7064958,0.4001119,0.25574876
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2,Male,1,1,A,0.7047672,0.3961928,0.22937463
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2,Male,1,2,B,0.6985858,0.4030202,0.23939542
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2,Male,1,2,A,0.7478949,0.4385093,0.22568181
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2,Male,1,2,A,0.7450526,0.4318299,0.24537805
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2,Male,1,1,A,0.7207609,0.4118346,0.24219767
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2,Male,1,1,A,0.7114514,0.396201,0.23992334
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2,Male,1,2,B,0.7153258,0.4288068,0.24740568
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2,Male,1,1,A,0.7073127,0.4058358,0.26444223
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2,Male,1,1,A,0.7092044,0.42182,0.23268849
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2,Male,1,1,A,0.6954628,0.3909836,0.24135235
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2,Male,1,1,A,0.716320088223324,0.407752618889104,0.242332915165383
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2,Male,2,0,A,0.9017384,0.5433705,0.222424
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2,Male,2,0,A,0.942317238636641,0.556996343954842,0.228710668702194
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_5,Male,1,2,A,0.72784208008765,0.419661036499104,0.219591020049483
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_5,Female,1,1,A,0.667860014373481,0.387055900145928,0.200840900209887
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_5,Male,1,2,A,0.73838705735588,0.429237796103085,0.232562977250279
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_5,Female,1,2,A,0.736142968718512,0.422841586600716,0.220549197077379
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_5,Female,1,1,A,0.708728495473297,0.400111934640225,0.210740716292943
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_5,Female,1,1,A,0.72559667501171,0.421204253578648,0.23777736140664
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_5,Female,1,1,A,0.745962114952221,0.440156000995637,0.233801170129422
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_5,Female,1,1,A,0.708600318247902,0.407240203491894,0.232018316174502
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_5,Male,2,0,A,0.901076235864487,0.541138989941752,0.243520105638185
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_5,Male,2,0,A,0.944544775135249,0.539740362156834,0.238730489851086
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_5,NA,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_5,NA,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,NA,1,2,B,0.6957146,0.392342,0.22183983
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,1,1,A,0.7738813,0.421366,0.21134022
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,1,2,A,0.7269546,0.4259984,0.24078715
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,1,2,B,0.7658963,0.4415541,0.2278278
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,1,1,A,0.7302316,0.43318,0.2313462
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,1,3,B,0.7412373,0.4075826,0.23847216
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,1,2,A,0.6989525,0.4316495,0.23239553
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,1,3,A,0.7507263,0.43768,0.24155388
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,1,3,B,0.7322325,0.424335,0.23129011
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,1,2,A,0.69256,0.4165107,0.237231
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_2B,Male,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4,Female,1,3,B,0.77585318567353,0.461386455102243,0.225149319034106
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4,Female,1,3,A,0.809065410271106,0.482986878950229,0.233189851547818
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4,Female,1,3,B,0.733701916459351,0.450644312610982,0.248138888095375
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4,Female,1,3,B,0.782821431156745,0.449353881442557,0.251760029283769
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4,Female,1,2,A,0.786175116535443,0.472303297581716,0.23777736140664
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4,Female,1,2,A,0.781689271801051,0.466143142236848,0.232855728603838
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4,Female,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4,Female,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4,Female,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4,Female,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4,Female,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4,Female,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4,Female,2,0,A,NA,NA,NA
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_3,Female,1,1,A,0.7772986,0.4867537,0.23247927
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_3,Female,1,3,B,0.7740825,0.4575313,0.23830886
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_3,Female,1,3,A,0.7797238,0.4719941,0.25619234
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_3,Female,1,4,B,0.7393003,0.443899,0.23252113
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_3,Female,1,3,B,0.7643657,0.4682748,0.2579213
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_3,Female,1,2,A,0.7582979,0.4748584,0.25217203
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_3,Female,1,3,B,0.7549364,0.4366039,0.24463657
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_3,Female,1,2,A,0.7800607,0.471726,0.23555676
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4B,Female,1,3,B,0.7773111,0.4509681,0.2288082
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4B,Female,1,3,B,0.7923856,0.4623066,0.24791654
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4B,Female,1,2,A,0.7736087,0.4473279,0.23755897
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4B,Female,1,2,A,0.762091658007042,0.465913424187045,0.241661299475834
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4B,Female,1,3,B,0.767419611305974,0.465077129335932,0.199479471055734
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4B,Female,1,3,B,0.747439269101714,0.458246895374041,0.225149319034106
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4B,Female,1,2,A,0.777198406058664,0.462496048325644,0.260025789437852
UNI,UNI_Control,−Kairomone,−UVR,UNI_Control_4B,Female,1,2,A,0.77643,0.4552282,0.25239064
